1,0.00,0.00,1,0.50,-1
2,41.15,10.99,0,7.82,-1
3,45.40,12.10,1,13.54,-1
4,51.03,11.66,2,17.34,1
5,55.28,9.66,3,17.12,-1
6,75.73,6.52,4,15.62,-1
7,71.03,2.97,5,15.62,1
8,61.13,0.00,6,13.15,-1
9,47.45,1.83,7,12.51,-1
10,52.37,1.39,8,9.84,-1
11,38.69,2.49,9,12.31,1
12,28.80,4.74,10,9.55,-1
13,20.69,8.75,9,2.73,0
14,45.58,10.01,8,8.19,2
15,54.27,10.13,9,5.23,-1
16,64.34,12.69,8,0.75,-1
17,73.03,9.71,7,0.00,-1
18,77.92,5.58,6,0.00,-1
19,77.64,5.04,5,0.00,2
20,72.18,0.92,4,0.00,-1
21,62.94,1.94,3,0.00,-1
22,52.30,0.50,2,2.00,1
23,43.06,0.62,2,4.02,-1
24,37.60,5.88,3,9.39,-1
25,20.69,8.75,4,10.08,1
26,30.01,9.02,5,11.00,-1
27,43.14,12.15,6,15.43,-1
28,57.64,13.73,7,10.74,0
29,70.77,9.76,8,7.24,-1
30,60.11,8.65,7,6.75,2
31,64.26,3.12,6,6.52,2
32,63.24,2.01,7,3.54,-1
33,58.44,2.04,6,-1.82,0
34,52.23,0.00,5,2.00,1
35,27.42,2.75,4,0.47,-1
36,26.40,3.02,3,-2.00,0
37,20.69,8.75,2,-2.00,0
38,34.46,12.03,1,2.65,-1
39,52.02,10.18,2,8.07,2
40,50.95,10.77,3,18.93,2
41,68.51,9.81,4,17.43,-1
42,62.29,7.71,5,15.49,-1
43,70.88,5.20,6,10.99,0
44,54.29,3.10,7,10.63,1
45,53.92,2.14,8,5.75,0
46,52.16,0.00,7,4.42,1
47,31.79,0.88,6,2.70,-1
48,35.21,4.16,5,4.22,-1
49,20.69,8.75,4,3.81,2
50,38.89,11.04,3,9.63,-1
51,40.89,12.20,4,13.69,0
52,64.26,11.81,5,11.71,-1
53,66.27,9.86,6,9.22,-1
54,64.47,6.77,7,6.24,-1
55,77.50,3.27,6,0.74,0
56,65.34,0.19,5,0.00,-1
57,49.41,0.00,4,0.00,-1
58,52.10,1.84,3,0.00,-1
59,36.15,3.00,2,2.73,-1
60,24.01,5.30,3,2.23,-1
61,20.69,8.75,2,2.92,1
62,43.32,10.06,3,11.08,1
63,49.76,10.23,4,12.67,-1
64,57.57,12.84,5,11.00,-1
65,64.01,9.91,6,6.53,0
66,66.65,5.84,7,1.53,0
67,64.12,5.35,6,-2.00,0
68,56.40,1.28,5,0.00,-1
69,64.91,0.00,4,-2.00,0
70,52.02,0.96,3,-2.00,0
71,40.53,1.13,2,0.13,-1
72,32.80,6.44,1,6.66,2
